file_pair_id,file1_path,file2_path,file1_name,file2_name,Dolphin_length,MonkeyOCR_length,length_difference,similarity_ratio,character_error_rate,word_error_rate,edit_distance,status
404,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0480.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0480.md,digibok_2007031501007_0480.md,digibok_2007031501007_0480.md,2533,2785,252,0.919894697254607,0.1437031188314252,0.1967654986522911,364,success
405,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0481.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0481.md,digibok_2007031501007_0481.md,digibok_2007031501007_0481.md,2304,2485,181,0.8189601169346419,0.3511284722222222,0.27635327635327633,809,success
406,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0482.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0482.md,digibok_2007031501007_0482.md,digibok_2007031501007_0482.md,1925,2111,186,0.744796828543112,0.4696103896103896,0.7605633802816901,904,success
407,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0483.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0483.md,digibok_2007031501007_0483.md,digibok_2007031501007_0483.md,2313,2500,187,0.46831498026179097,1.0903588413316039,0.5835777126099707,2522,success
408,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0484.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0484.md,digibok_2007031501007_0484.md,digibok_2007031501007_0484.md,2414,2800,386,0.859608745684695,0.251864125932063,0.25495049504950495,608,success
409,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0485.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0485.md,digibok_2007031501007_0485.md,digibok_2007031501007_0485.md,2749,2890,141,0.9469764142578472,0.08657693706802473,0.15601023017902813,238,success
410,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0486.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0486.md,digibok_2007031501007_0486.md,digibok_2007031501007_0486.md,2174,2670,496,0.8459950454170108,0.3031278748850046,0.28939828080229224,659,success
411,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0487.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0487.md,digibok_2007031501007_0487.md,digibok_2007031501007_0487.md,2642,2917,275,0.8954847994243569,0.17600302800908402,0.183206106870229,465,success
412,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0488.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0488.md,digibok_2007031501007_0488.md,digibok_2007031501007_0488.md,2968,3104,136,0.5563241106719368,0.8871293800539084,0.3620309050772627,2633,success
413,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0489.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0489.md,digibok_2007031501007_0489.md,digibok_2007031501007_0489.md,2751,2875,124,0.9427657305367935,0.09378407851690294,0.09195402298850575,258,success
414,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0490.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0490.md,digibok_2007031501007_0490.md,digibok_2007031501007_0490.md,2498,2728,230,0.8786835055491772,0.21096877502001601,0.192,527,success
415,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0491.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0491.md,digibok_2007031501007_0491.md,digibok_2007031501007_0491.md,2929,3100,171,0.9112622325427102,0.14578354387162853,0.12669683257918551,427,success
416,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0492.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0492.md,digibok_2007031501007_0492.md,digibok_2007031501007_0492.md,2682,2925,243,0.9313358302122348,0.13124533929903057,0.15263157894736842,352,success
417,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0493.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0493.md,digibok_2007031501007_0493.md,digibok_2007031501007_0493.md,2504,2695,191,0.4800923254472014,1.031549520766773,0.431266846361186,2583,success
418,D:\data\HCNC\norway\biographies\storage\Dolphin\markdown\digibok_2007031501007_0494.md,D:\data\HCNC\norway\biographies\storage\MonkeyOCR\digibok_2007031501007\digibok_2007031501007_0494.md,digibok_2007031501007_0494.md,digibok_2007031501007_0494.md,2744,2873,129,0.9140110379205982,0.13119533527696792,0.17114914425427874,360,success
